publisher_name,match_type,keyword_group,impressions,clicks,spend,bookings,revenue,ctr,cvr,cpc,cpa,roas,profit
Google - US,Broad,Greece,20523,600,1507.4999966375,0,0.0,0.029235491887151,0.0,2.5124999943958333,,0.0,-1507.4999966375
Google - US,Broad,Houston to Athens Sale,208,14,39.7625,0,0.0,0.0673076923076923,0.0,2.8401785714285714,,0.0,-39.7625
Google - US,Broad,Houston to Barcelona Sale,335,10,28.4625,0,0.0,0.029850746268656716,0.0,2.84625,,0.0,-28.4625
Google - US,Broad,Houston to Florence Sale,67,5,12.637500000000001,0,0.0,0.07462686567164178,0.0,2.5275000000000003,,0.0,-12.637500000000001
Google - US,Broad,Houston to Paris Sale,12470,307,810.9749983875,5,7065.200000000001,0.024619085805934242,0.016286644951140065,2.64161237259772,162.1949996775,8.711982507534847,6254.225001612501
Google - US,Broad,Houston to Rome Sale,7747,229,774.374998875,0,0.0,0.0295598296114625,0.0,3.3815502134279476,,0.0,-774.374998875
Google - US,Broad,Houston to Venice Sale,81,3,7.5875,0,0.0,0.037037037037037035,0.0,2.529166666666667,,0.0,-7.5875
Google - US,Broad,India,8620,214,594.3374992,0,0.0,0.024825986078886312,0.0,2.77727803364486,,0.0,-594.3374992
Google - US,Broad,India Branded,2,2,3.5,0,0.0,1.0,0.0,1.75,,0.0,-3.5
Google - US,Broad,International Boston,605,10,27.775,0,0.0,0.01652892561983471,0.0,2.7775,,0.0,-27.775
Google - US,Broad,International DC,817,17,49.412499999999994,0,0.0,0.0208078335373317,0.0,2.906617647058823,,0.0,-49.412499999999994
Google - US,Broad,International Detroit,1133,33,92.849999975,1,923.95,0.02912621359223301,0.030303030303030304,2.813636362878788,92.849999975,9.950996233158588,831.1000000250001
Google - US,Broad,International Los Angeles,1814,23,62.5499999375,0,0.0,0.012679162072767364,0.0,2.719565214673913,,0.0,-62.5499999375
Google - US,Broad,International New York,125,5,12.425,0,0.0,0.04,0.0,2.4850000000000003,,0.0,-12.425
Google - US,Broad,International Philadelphia,189,9,27.112499999999997,0,0.0,0.047619047619047616,0.0,3.0124999999999997,,0.0,-27.112499999999997
Google - US,Broad,Istanbul Branded,19,5,3.3375000000000004,0,0.0,0.2631578947368421,0.0,0.6675000000000001,,0.0,-3.3375000000000004
Google - US,Broad,Italy,88188,3855,8380.6749665375,11,10642.0,0.0437134303986937,0.0028534370946822307,2.173975347999351,761.8795424125,1.2698261228948216,2261.325033462501
Google - US,Broad,Italy Branded,78,6,6.962499974999999,0,0.0,0.07692307692307693,0.0,1.1604166624999999,,0.0,-6.962499974999999
Google - US,Broad,London Branded,2,1,1.675,0,0.0,0.5,0.0,1.675,,0.0,-1.675
Google - US,Broad,Los Angeles to Athens Sale,51,3,3.35,0,0.0,0.058823529411764705,0.0,1.1166666666666667,,0.0,-3.35
Google - US,Broad,Los Angeles to Barcelona Sale,143,7,25.6625,0,0.0,0.04895104895104895,0.0,3.6660714285714286,,0.0,-25.6625
Google - US,Broad,Los Angeles to France Sale,1255,80,194.137499775,1,483.65,0.06374501992031872,0.0125,2.4267187471875,194.137499775,2.49127551637647,289.51250022499994
Google - US,Broad,Los Angeles to Greece Sale,124,5,10.175,0,0.0,0.04032258064516129,0.0,2.035,,0.0,-10.175
Google - US,Broad,Los Angeles to Italy Sale,10,3,13.025,0,0.0,0.3,0.0,4.341666666666667,,0.0,-13.025
Google - US,Broad,Los Angeles to Madrid Sale,7,1,1.15,0,0.0,0.14285714285714285,0.0,1.15,,0.0,-1.15
Google - US,Broad,Los Angeles to Malaga Sale,6,2,3.9875,0,0.0,0.3333333333333333,0.0,1.99375,,0.0,-3.9875
Google - US,Broad,Los Angeles to Milan Sale,44,2,7.35,0,0.0,0.045454545454545456,0.0,3.675,,0.0,-7.35
Google - US,Broad,Los Angeles to Paris Sale,2676,156,408.06249963749997,1,1700.0,0.05829596412556054,0.00641025641025641,2.6157852540865383,408.06249963749997,4.166028491983913,1291.9375003625
Google - US,Broad,Los Angeles to Rome Sale,268,12,29.0875,0,0.0,0.04477611940298507,0.0,2.423958333333333,,0.0,-29.0875
Google - US,Broad,Los Angeles to Seville Sale,3,1,2.0125,0,0.0,0.3333333333333333,0.0,2.0125,,0.0,-2.0125
Google - US,Broad,Los Angeles to Spain Sale,156,5,9.6875,0,0.0,0.03205128205128205,0.0,1.9375,,0.0,-9.6875
Google - US,Broad,Los Angeles to Venice Sale,170,2,2.825,0,0.0,0.011764705882352941,0.0,1.4125,,0.0,-2.825
Google - US,Broad,Low Europe New York,3,2,2.4875,0,0.0,0.6666666666666666,0.0,1.24375,,0.0,-2.4875
Google - US,Broad,Low International Detroit,8,2,6.0875,0,0.0,0.25,0.0,3.04375,,0.0,-6.0875
Google - US,Broad,Low International Los Angeles,1,1,3.4625,0,0.0,1.0,0.0,3.4625,,0.0,-3.4625
Google - US,Broad,Luxury - Branded,5,1,0.0625,0,0.0,0.2,0.0,0.0625,,0.0,-0.0625
Google - US,Broad,Luxury Flight,2682,56,193.21249968749999,0,0.0,0.020879940343027592,0.0,3.450223208705357,,0.0,-193.21249968749999
Google - US,Broad,Lyon,5903,521,1252.1624989625002,0,0.0,0.08826020667457225,0.0,2.4033829154750483,,0.0,-1252.1624989625002
Google - US,Broad,Madrid,25825,395,450.7999985625,1,94.35,0.015295256534365925,0.002531645569620253,1.1412658191455696,450.7999985625,0.20929458806757092,-356.4499985625
Google - US,Broad,Madrid Branded,23,3,2.1375,0,0.0,0.13043478260869565,0.0,0.7125,,0.0,-2.1375
Google - US,Broad,Marseille,2717,277,575.7624977500001,1,671.5,0.10195068089804932,0.0036101083032490976,2.078564973826715,575.7624977500001,1.1662795034829965,95.73750224999992
Google - US,Broad,Marseille Branded,1,2,0.975,0,0.0,2.0,0.0,0.4875,,0.0,-0.975
Google - US,Broad,Miami to France Sale,1487,61,142.7874999375,1,470.05,0.0410221923335575,0.01639344262295082,2.3407786875,142.7874999375,3.291954829419572,327.2625000625
Google - US,Broad,Miami to Paris Sale,998,51,101.0374996875,0,0.0,0.05110220440881764,0.0,1.9811274448529412,,0.0,-101.0374996875
Google - US,Broad,Milan,11579,253,311.0749996625,0,0.0,0.021849900682269625,0.0,1.2295454532114625,,0.0,-311.0749996625
Google - US,Broad,Milan Branded,36,3,2.05,0,0.0,0.08333333333333333,0.0,0.6833333333333332,,0.0,-2.05
