publisher_name,keyword,match_type,campaign,keyword_group,category,search_engine_bid,clicks,click_charges,impressions,avg_pos,revenue,booking,cpc_avg,conversion_rate,cpa,ctr,roas,sale_probability,ctr_calc,cpc_calc,cvr_calc,cpa_calc,roas_calc
Overture - Global,cheap fare to paris,Advanced,Unassigned,Unassigned,paris,0.6875,29,26.612499962500003,559,2.33345259391771,7418.8,2,0.9176724125000001,0.06896551724137931,13.306249981250001,0.0518783542039356,278.7712545027307,0.0035778175313059034,0.0518783542039356,0.9176724125000001,0.06896551724137931,13.306249981250001,278.7712545027307
Overture - US,air france.com,Standard,Unassigned,Unassigned,airfrance,0.3125,273,46.3499980125,3171,1.00630715862504,11271.85,10,0.1697802125,0.03663003663003663,4.63499980125,0.08609271523178808,243.1898701907199,0.00315357931251971,0.08609271523178808,0.1697802125,0.03663003663003663,4.63499980125,243.1898701907199
Google - US,air france us,Broad,Air France Branded,Air France Website,uncategorized,10.0,231,99.549998625,1277,1.02260767423649,23076.65,20,0.430952375,0.08658008658008658,4.97749993125,0.18089271730618636,231.80964659706947,0.01566170712607674,0.18089271730618636,0.430952375,0.08658008658008658,4.97749993125,231.80964659706947
Google - US,airfrance,Broad,Air France Branded,Air France Website,uncategorized,10.0,907,235.11249464999997,4352,1.01058363970588,48551.15,26,0.25921995,0.02866593164277839,9.04278825576923,0.20840992647058823,206.50178576121883,0.005974264705882353,0.20840992647058823,0.25921995,0.02866593164277839,9.04278825576923,206.50178576121883
Overture - US,cdg flight,Standard,Unassigned,Unassigned,paris,0.125,18,4.749999975,169,1.66213017751479,896.75,1,0.2638888875,0.05555555555555555,4.749999975,0.10650887573964497,188.78947467783937,0.005917159763313609,0.10650887573964497,0.2638888875,0.05555555555555555,4.749999975,188.78947467783937
Google - US,airfrance us,Broad,Air France Branded,Air France Website,uncategorized,10.0,207,30.787498124999995,730,1.0,5733.25,5,0.14873187499999999,0.024154589371980676,6.157499624999999,0.28356164383561644,186.22006818230219,0.00684931506849315,0.28356164383561644,0.14873187499999999,0.024154589371980676,6.157499624999999,186.22006818230219
Google - US,france airline ticket,Broad,Geo Targeted New York,New York to France Sale,uncategorized,6.25,2,2.6875,24,1.54166666666667,494.7,1,1.34375,0.5,2.6875,0.08333333333333333,184.07441860465116,0.041666666666666664,0.08333333333333333,1.34375,0.5,2.6875,184.07441860465116
Google - US,airfrance website,Broad,Air France Branded,Air France Website,uncategorized,0.7125,10,9.9375,80,1.0625,1815.6,1,0.99375,0.1,9.9375,0.125,182.70188679245283,0.0125,0.125,0.99375,0.1,9.9375,182.70188679245283
Overture - Global,airplane france ticket,Advanced,Unassigned,Unassigned,airline,0.4375,16,8.3125,6073,2.46342828914869,1473.9,1,0.51953125,0.0625,8.3125,0.002634612218014161,177.31127819548874,0.00016466326362588507,0.002634612218014161,0.51953125,0.0625,8.3125,177.31127819548874
Google - US,france airfare sale,Broad,Geo Targeted Miami,Miami to France Sale,uncategorized,6.25,1,2.7625,2,1.0,470.05,1,2.7625,1.0,2.7625,0.5,170.15384615384616,0.5,0.5,2.7625,1.0,2.7625,170.15384615384616
Overture - Global,air france schedule,Advanced,Unassigned,Unassigned,airfrance,0.325,30,10.712499750000001,2192,1.51934306569343,1785.0,1,0.357083325,0.03333333333333333,10.712499750000001,0.013686131386861315,166.6277751838454,0.00045620437956204383,0.013686131386861315,0.357083325,0.03333333333333333,10.712499750000001,166.6277751838454
