publisher_name,match_type,keyword_group,current_spend,proposed,delta_spend,roas,expected_revenue_current,expected_revenue_proposed,delta_revenue
Google - US,Broad,Seattle to Paris Sale,1171.2249966375,1171.2249966375002,2.2737367544323206e-13,2.4058144319746857,2817.75,2817.750000000001,9.094947017729282e-13
Google - US,Broad,Nice Branded,116.7124995375,116.71249953750004,4.263256414560601e-14,21.16397138085755,2470.1,2470.100000000001,9.094947017729282e-13
MSN - Global,Broad,Paris,2212.5749962125,2212.5749962125005,4.547473508864641e-13,3.2473701512036492,7185.05,7185.050000000001,9.094947017729282e-13
Google - US,Broad,Paris Branded,558.6249972749999,558.624997275,1.1368683772161603e-13,5.6207652992912704,3139.9,3139.900000000001,9.094947017729282e-13
Google - US,,Google|Europe,31.6499988,31.64999880000001,1.0658141036401503e-14,91.06951372143496,2882.35,2882.350000000001,9.094947017729282e-13
Google - US,Broad,Google|rabat,14.07499995,14.074999950000006,5.329070518200751e-15,99.64476056712171,1402.5,1402.5000000000007,6.821210263296962e-13
Google - US,Broad,Google|Barcelona,2517.9374914,2517.937491400001,9.094947017729282e-13,0.7352446223637813,1851.2999999999997,1851.3000000000004,6.821210263296962e-13
Google - US,Broad,Nice,4807.7999885125,4807.799988512502,1.8189894035458565e-12,0.4080452607611423,1961.8,1961.8000000000006,6.821210263296962e-13
Google - Global,Broad,Lyon,216.11249948749997,216.11249948750006,8.526512829121202e-14,8.49557524138577,1835.9999999999998,1836.0000000000005,6.821210263296962e-13
Yahoo - US,Advanced,General Terms,606.4749957,606.4749957000002,2.2737367544323206e-13,3.2613875494026408,1977.9500000000003,1977.950000000001,6.821210263296962e-13
Google - US,Broad,Chicago to Paris Sale,690.1874983375,690.1874983375001,1.1368683772161603e-13,3.97051526809886,2740.4,2740.4000000000005,4.547473508864641e-13
Google - US,Broad,Barcelona,1118.5499939875,1118.5499939875006,4.547473508864641e-13,0.8663001253485578,968.9999999999999,969.0000000000003,4.547473508864641e-13
Google - Global,,France,10.9999995875,10.999999587500003,3.552713678800501e-15,117.84091350994335,1296.25,1296.2500000000005,4.547473508864641e-13
Google - US,Broad,Los Angeles to Paris Sale,408.06249963749997,408.0624996375001,1.1368683772161603e-13,4.166028491983913,1700.0,1700.0000000000005,4.547473508864641e-13
Google - US,Broad,Florence,415.6874989375,415.68749893750004,5.684341886080802e-14,7.111832825274569,2956.3,2956.3000000000006,4.547473508864641e-13
Yahoo - US,Advanced,Low International DC,0.625,0.6250000000000002,2.220446049250313e-16,2518.7200000000003,1574.2000000000003,1574.2000000000007,4.547473508864641e-13
